name,party,twitter_name,# of followers
Jackie Speier (D),(D),RepSpeier,5413003
Sheila Jackson Lee,(D),JacksonLeeTX18,2528622
Albio Sires (D),(D),RepSires,2332989
Michael K. Simpson,(R),CongMikeSimpson,1694344
Ruben Gallego (D),(D),RepRubenGallego,1502549
Katie Hill (D),(D),RepKatieHill,1441547
James E. Clyburn,(D),WhipClyburn,1192052
Ben Ray Luj��n,(D,repbenraylujan,110
James A. Himes,(D),jahimes,1016296
Robert C. (���Bobby���),Scott,Bobby
Seth Moulton (D),(D),sethmoulton,888436
Alcee L. Hastings,(D),RepHastingsFL,756582
Ralph Norman (R),(R),RepRalphNorman,679604
Sylvia R. Garcia,(D),RepSylviaGarcia,674927
Frederica Wilson (D),(D),RepWilson,672459
Chellie Pingree (D),(D),chelliepingree,534428
Marc Veasey (D),(D),RepVeasey,461033
Michael T. McCaul,(R),RepMcCaul,455495
John Shimkus (R),(R),RepShimkus,453395
David Joyce (R),(R),RepDaveJoyce,408242
Richard Hudson (R),(R),RepRichHudson,380957
French Hill (R),(R),RepFrenchHill,369617
Michael R. Turner,(R),RepMikeTurner,358630
David Rouzer (R),(R),RepDavidRouzer,350295
James R. Baird,(R),RepJimBaird,337110
Alma S. Adams,(D),RepAdams,302914
large) Don Young,(R),repdonyoung,289947
Karen Bass (D),(D),RepKarenBass,287846
David Loebsack (D),(D),daveloebsack,233152
"Henry C. (""Hank""),(D),RepHankJohnson,227447"
Steny H. Hoyer,(D),LeaderHoyer,222165
Dan Crenshaw (R),(R),RepDanCrenshaw,215990
Thomas Massie (R),(R),RepThomasMassie,173215
Debra A. Haaland,(D),RepDebHaaland,157036
Nanette Barr��gan (D,(D,RepBarragan,15
Suzan K. DelBene,(D),RepDelBene,149116
Steven C. Watkins,(R),StevenCWatkins2,138369
Robert J. Wittman,(R),RobWittman,130838
Garret Graves (R),(R),RepGarretGraves,125936
Ayanna Pressley (D),(D),AyannaPressley,121439
Gus M. Bilirakis,(R),RepGusBilirakis,119992
Michael F. Doyle,(D),USRepMikeDoyle,117949
Cynthia Axne (D),(D),RepCindyAxne,111977
Eliot L. Engel,(D),RepEliotEngel,110642
Derek Kilmer (D),(D),RepDerekKilmer,104553
Martha Roby (R),(R),RepMarthaRoby,102759
Sean P. Duffy,(R),Duffy,97210
Sam Graves (R),(R),RepSamGraves,96305
Francis Rooney (R),(R),RepRooney,95254
Daniel Webster (R),(R),RepWebster,93951
Jahana Hayes (D),(D),RepJahanaHayes,92021
Pete Stauber (R),(R),RepPeteStauber,90870
Elijah E. Cummings,(D),RepCummings,88874
Raja Krishnamoorthi (D),(D),CongressmanRaja,87499
Mike Rogers (R),(R),RepMikeRogersAL,86296
Ralph Abraham (R),(R),RepAbraham,82860
Robert E. Latta,(R),boblatta,80417
Walter B. Jones,(R),RepWalterJones,79389
Donald W. Norcross,(D),DonaldNorcross,78059
Donna Shalala (D),(D),RepShalala,77809
Veronica Escobar (D),(D),RepEscobar,77696
Daniel Meuser (R),(R),RepMeuser,77397
Conor Lamb (D),(D),ConorLambPA,76460
Katie Porter (D),(D),RepKatiePorter,75705
Ted Budd (R),(R),RepTedBudd,75375
Gwen Moore (D),(D),RepGwenMoore,74610
Buddy Carter (R),(R),RepBuddyCarter,74542
Glenn Thompson (R),(R),CongressmanGT,71996
Bruce Westerman (R),(R),RepWesterman,70834
Filemon Vela (D),(D),RepFilemonVela,70673
Cedric L. Richmond,(D),RepRichmond,70231
Paul A. Gosar,(R),RepGosar,69419
Scott Perry (R),(R),RepScottPerry,68898
Denny Heck (D),(D),RepDennyHeck,65467
Kim Schrier (D),(D),DrKimSchrier,64825
